26:12:031003:1291,2636.5
26:12:031003:1379,20.1
26:12:031003:1382,29.3
26:12:031003:1381,37.7
26:12:031003:1392,35.5
26:12:031003:1378,35.5
26:12:031003:1405,20.1
26:12:031003:1402,20.1
26:12:031003:1376,29.3
26:12:031003:1387,31.8
26:12:031003:1388,43.7
26:12:031003:1404,29.3
26:12:031003:1394,29.4
26:12:031003:1371,29.4
26:12:031003:1393,37.7
26:12:031003:1386,35.5
26:12:031003:1391,20.1
26:12:031003:1365,35.5
26:12:031003:1370,37.7
26:12:031003:1367,29.3
26:12:031003:1410,20.6
26:12:031003:1395,31.8
26:12:031003:1375,29.4
26:12:031003:1397,29.9
26:12:031003:1399,39.4
26:12:031003:1406,30
26:12:031003:1384,37
26:12:031003:1374,31.6
26:12:031003:1369,45.4
26:12:031003:1398,32.5
26:12:031003:1372,32.5
26:12:031003:1383,31.6
26:12:031003:1377,35
26:12:031003:1360,32.5
26:12:031003:1361,45.4
26:12:031003:1358,31.6
26:12:031003:1357,35
26:12:031003:1356,32.5
26:12:031003:1359,35
26:12:031003:1362,45.4
26:12:031003:1363,32.5
26:12:031003:1380,31.6
26:12:031003:1385,35
26:12:031003:1364,33.1
26:12:031003:1355,45.4
26:12:031003:1368,32.2
26:12:031003:1403,31.8
26:12:031003:1373,36.6
26:12:031003:2049,21.9
26:12:031003:2040,38.8
26:12:031003:1366,47.2
26:12:031003:1396,31.8
26:12:031003:1400,29.4
26:12:031003:2045,33.9
26:12:031003:2044,41.8
26:12:031003:2047,30.8
26:12:031003:2048,49.1
26:12:031003:2042,32.9
26:12:031003:2041,33
26:12:031003:1407,66.2
26:12:031003:2046,33.8
26:12:031003:1401,107.6
26:12:031003:2043,38.6
26:12:021302:1405,92.4
26:12:021302:1130,165.5
26:12:021302:1407,61.5
26:12:010301:194,4240.9
26:12:010301:773,72.1
26:12:010301:778,86.3
26:12:021302:1406,35.5
26:12:010301:774,83.9
26:12:010301:785,70.9
26:12:010301:781,87.8
26:12:010301:799,90.6
26:12:010301:798,54
26:12:010301:803,71.1
26:12:010301:809,71.1
26:12:010301:797,75.9
26:12:010301:787,87.9
26:12:010301:779,71.5
26:12:010301:810,53.9
26:12:010301:786,53.5
26:12:010301:792,54
26:12:010301:804,53
26:12:010301:821,75.7
26:12:010301:811,90.8
26:12:010301:791,70.6
26:12:010301:805,85.2
26:12:010301:828,53.3
26:12:010301:817,86.6
26:12:010301:775,94.5
26:12:010301:822,54.3
26:12:010301:824,86.6
26:12:010301:780,58.3
26:12:010301:777,71
26:12:010301:829,87.2
26:12:010301:783,54.1
26:12:010301:776,54.5
